Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
0,26-100,0,0,Yes,No,No,No,Yes,I don't know,Maybe,Maybe,No,Yes,I don't know,No,,,,,,,,,1,"No, none did",N/A (none offered),None did,None did,"Yes, always",Maybe,"Yes, all of them",At some of my previous employers,I don't know,I don't know,None of them,Maybe,I have a brain disorder and a connective tissue disorder both life long disorders that will physically cause issues it is not worth it,No,I already have physical issues it is not worth it to compound mental issues,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Yes,Yes,Yes,1,Often,Sometimes,29,female,United States of America,Ohio,United States of America,Ohio
0,More than 1000,1,1,Yes,Yes,No,No,Yes,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,"Yes, always",Maybe,,At some of my previous employers,I don't know,I don't know,,Maybe,,No,"Any discussion of my mental health issues has implicit bearing on my productivity, and is likely to give a potential employer pause.",Maybe,"No, I don't think they would",Somewhat not open,"Yes, I experienced",,Yes,Yes,Yes,Yes,1,Often,Often,44,Male,United States of America,Washington,United States of America,Washington
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,,1,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Unsure,,1,I don't know,N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,acommodations should be made for physical health issues,Maybe,"Depends on how I feel about the employer ??ideally yes, but I know I might not always be comfortable bringing it up",Maybe,"No, I don't think they would",Somewhat open,I've always been self-employed,,I don't know,Don't Know,Possibly,No,1,Not applicable to me,Not applicable to me,18,Male,Canada,,Canada,
0,More than 1000,1,1,Not eligible for coverage / NA,N/A,Yes,I don't know,Yes,I don't know,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,"Yes, always",Maybe,"Yes, all of them","No, at none of my previous employers",I don't know,I don't know,Some of them,Maybe,Discrimination.,No,Discrimination.,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",N/A,Yes,Yes,Yes,Yes,0,Rarely,Sometimes,42,Male,Australia,,Australia,
0,,0,1,Yes,Yes,No,No,Yes,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,"No, none did",N/A (was not aware),None did,None did,No,Maybe,None of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,Must appear to be the ideal canidate,No,Must appeal to be the ideal candidate,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,,Yes,Possibly,Possibly,Yes,1,Sometimes,Often,30,Male,United States of America,Tennessee,United States of America,Tennessee
0,100-500,1,0,Yes,No,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,"No, none did",N/A (none offered),None did,None did,I don't know,Maybe,,At some of my previous employers,I don't know,I don't know,,Maybe,I do not think an interview is the proper place for that discussion unless that physical problem will effect your daily work.,Maybe,If it effected your daily work or ability to do your job. ,Maybe,Maybe,Somewhat open,No,,I don't know,Yes,Yes,Yes,0,Never,Sometimes,29,M,United States of America,New York,United States of America,New York
0,More than 1000,1,1,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,,,,,,,,,,0,,,,,,Maybe,,,I don't know,I don't know,,Maybe,I would wait until after an offer had been extended to discuss what impact my issue might have on employment.,No,Same as before. I would wait until after an offer was made. Interviewers are not necessarily the ones who need to know.,Maybe,"Yes, I think they would",Somewhat not open,No,No,Yes,Possibly,Yes,Yes,1,Sometimes,Often,27,Female,United States of America,Texas,United States of America,Texas
0,More than 1000,1,1,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,,,,,,,,,,1,Some did,I was aware of some,None did,Some did,Sometimes,Maybe,"Yes, all of them","No, at none of my previous employers",I don't know,I don't know,Some of them,Maybe,I wouldn't bring up a physical health issue unless it might directly impact my work. Then I would definitely mention it.,No,"I feel that sharing my mental health issue causes additional issues in working relationships. For example, when I have legitimate concerns about how I'm being treated, I think it becomes easier for my manager / co-workers to blame my concerns on my mental illness. ",Maybe,"Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,0,Rarely,Often,39,Male,United States of America,Washington,United States of America,Washington
0,100-500,1,1,Yes,Yes,Yes,No,Yes,I don't know,Maybe,Maybe,No,Yes,I don't know,No,,,,,,,,,1,Some did,"No, I only became aware later",Some did,None did,I don't know,Maybe,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,If it was something that would affect my performance yes. Or if they asked me directly yes.,No,If my mental health affected my ability to do my job yes I would. It has not. I would ask about options for support though.,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",,Yes,No,No,Yes,0,Not applicable to me,Not applicable to me,40,female,United States of America,California,United States of America,California
0,More than 1000,1,1,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,Only if accommodations needed,Maybe,Only if accommodations needed,Maybe,Maybe,Very open,Maybe/Not sure,,Yes,Yes,Possibly,Yes,1,Sometimes,Sometimes,36,female,United States of America,Pennsylvania,United States of America,Pennsylvania
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,No,0,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,No,,1,"No, none did","No, I only became aware later",None did,"Yes, they all did",I don't know,Maybe,None of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,"
",No,wouldn't get the job,Maybe,"No, I don't think they would",Very open,I've always been self-employed,No,No,No,Don't Know,No,1,Sometimes,Sometimes,48,female,United States of America,California,United States of America,California
0,More than 1000,1,1,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,,Maybe,,Maybe,Maybe,Somewhat open,Maybe/Not sure,,No,Don't Know,Don't Know,No,1,Not applicable to me,Not applicable to me,43,male,United States of America,Colorado,United States of America,Colorado
0,100-500,1,1,Yes,Yes,I don't know,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,I don't know,Maybe,None of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,Depends on the nature of the health issue and possibly opening myself to discriminatory practices,No,Fear of discrimination based on MH stigmas,Maybe,"Yes, I think they would",Neutral,Maybe/Not sure,N/A,Yes,Yes,Yes,Yes,1,Sometimes,Often,38,Man,United States of America,New Mexico,United States of America,New Mexico
0,26-100,1,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Maybe,None of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,Really just depends on the issue vs. context.,Maybe,"Again, depends on the issue vs. context.",Maybe,"No, I don't think they would",Very open,No,,I don't know,Yes,No,Yes,0,Not applicable to me,Not applicable to me,42,Male,United States of America,California,United States of America,California
0,500-1000,1,1,No,N/A,Yes,Yes,Yes,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,,,,,,,,,1,"No, none did",N/A (was not aware),Some did,Some did,Sometimes,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,If it had the possibility of impacting my work,Yes,Because I do not want to work anywhere that does not take mental health into account.,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),"Yes, I experienced",,I don't know,Possibly,Yes,Yes,0,Sometimes,Often,46,Male,United Kingdom,,United Kingdom,
0,More than 1000,0,0,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Yes,No,I don't know,,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Maybe,None of them,"Yes, at all of my previous employers",I don't know,I don't know,None of them,Maybe,,No,,Maybe,Maybe,Somewhat open,"Yes, I observed",,Yes,,Yes,Yes,1,Sometimes,Often,30,male,United States of America,Virginia,United States of America,Virginia
0,,0,1,No,Yes,No,No,No,I don't know,Maybe,Maybe,Yes,No,I don't know,No,,,,,,,,,0,,,,,,Maybe,Some of them,,I don't know,I don't know,None of them,Maybe,"If it affected my performance, I would bring it up.",Maybe,"If it affected my performance, I would bring it up.",Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,25,Male,United Kingdom,,United Kingdom,
0,500-1000,1,1,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,,,,,,,,,,1,Some did,"No, I only became aware later",None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,"If I thought it might impact access/ability to work, then I would. If it wouldn't impact my ability to do the job, it would be irrelevant.",No,Too much stigma to reveal without knowing the person better.,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,Yes,No,Don't Know,No,1,Not applicable to me,Not applicable to me,28,,Canada,,Canada,
0,100-500,1,1,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,No,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,"I've never been in the position, so I can't properly say yes or no. But I think it would depend on how far along I am in the interview and what kind of physical health issue it is (ie broken leg that will heal vs disability that would alter the way they plan events etc)",Yes,"I say yes, but the extent depends on the employer. Also there's a difference between this question and the last. The last says ""mental health"" which I'm happy to bring up as I can use the speaking about self-care as a bridge (plus I want to make sure that I won't be expected to work 10+ hours per day). As for a specific mental health issue, as this question is asking, the answer would likely be no -- unless the potential employer has read some of my writing about it.",Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Possibly,Possibly,Yes,1,Not applicable to me,Not applicable to me,24,Female,Germany,,Germany,
0,,1,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,No,Yes,I don't know,No,,,,,,,,,1,"No, none did",N/A (none offered),None did,None did,I don't know,Maybe,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Maybe,,Maybe,,Maybe,Maybe,Somewhat open,No,No,Yes,No,No,No,1,Not applicable to me,Not applicable to me,26,male,United Kingdom,,United Kingdom,
0,More than 1000,1,1,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,,,,,,,,,,1,Some did,I was aware of some,None did,Some did,"Yes, always",Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,"depends on the interview, typically no",No,stigma,Maybe,Maybe,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,Yes,0,Sometimes,Often,43,Male,United States of America,North Carolina,United States of America,North Carolina
0,More than 1000,0,1,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,I don't know,Some did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,They can always choose someone who is healthier than I am (currently) with the same skillset.,No,"I keep my mental health status to myself, don't want to jeopardize the interview so early on...",Maybe,"No, I don't think they would",Very open,No,,I don't know,Yes,Yes,Yes,0,Often,Often,25,Female,United States of America,New York,United States of America,New York
0,More than 1000,0,1,Yes,No,Yes,I don't know,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Physical health issues are generally apparent and given reasonable consideration.,No,"Mental health issues are not visibly apparent or as definitively diagnosable, and thus more easily taken lightly.",Maybe,"Yes, I think they would",Neutral,No,,Yes,Yes,Yes,No,0,Rarely,Often,34,male,United States of America,Arizona,United States of America,Arizona
0,26-100,1,1,Yes,Yes,Yes,I don't know,Yes,I don't know,Maybe,Maybe,Yes,No,I don't know,No,,,,,,,,,1,I don't know,N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,"If the physical health issue could impede the work, it may be better to make it known in the interview process.",No,There is more stigma attached to mental health issues than physical issues.,Maybe,Maybe,Somewhat open,Maybe/Not sure,,No,No,No,No,1,Not applicable to me,Not applicable to me,28,female,United States of America,District of Columbia,United States of America,District of Columbia
0,26-100,1,1,No,N/A,No,No,Yes,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,"No, none did",N/A (none offered),None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,,Maybe,,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",No,I don't know,Possibly,Yes,Yes,1,Sometimes,Often,27,Male,South Africa,,South Africa,
0,26-100,1,1,No,No,Yes,Yes,Yes,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,,,,,,,,,0,,,,,,Maybe,None of them,,I don't know,I don't know,Some of them,Maybe,If he socializes in a nice way I would share other wise not,Maybe,NO,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Don't Know,Don't Know,No,1,Sometimes,Sometimes,22,Male,India,,India,
0,26-100,1,1,I don't know,No,No,Yes,Yes,I don't know,Maybe,Maybe,Yes,No,I don't know,No,,,,,,,,,0,,,,,,Maybe,None of them,,I don't know,I don't know,Some of them,Maybe,to not influence a possible work offer,No,same as above,Maybe,Maybe,Neutral,No,Yes,Yes,No,No,No,1,Not applicable to me,Not applicable to me,24,female,Romania,,Romania,
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,No,0,"No, I don't know any","Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",Negatively,Yes,76-100%,1,"No, none did","No, I only became aware later",None did,None did,No,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,no,Maybe,no,Maybe,"No, I don't think they would",Somewhat open,No,No,No,,Yes,No,0,Sometimes,Often,33,female,Pakistan,,Pakistan,
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,No,1,"No, I don't know any","Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",I'm not sure,No,,1,"Yes, they all did",I was aware of some,None did,None did,No,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,honesty,Maybe,being honest,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I experienced",,No,Yes,Possibly,Yes,0,Not applicable to me,Often,41,m,Germany,,Germany,
0,26-100,1,1,No,N/A,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,0,,,,,,Maybe,None of them,,I don't know,I don't know,None of them,Maybe,,No,Would be scared that employing me would be seen as a liability,Maybe,Maybe,Neutral,"Yes, I observed",,I don't know,Possibly,Possibly,No,1,Often,Often,26,Female,United Kingdom,,United Kingdom,
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,No,0,I know some,"No, because it would impact me negatively",I'm not sure,"Sometimes, if it comes up",Positively,Yes,1-25%,0,,,,,,Maybe,None of them,,I don't know,I don't know,None of them,Maybe,Less stigma,No,More stigma,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",,I don't know,Yes,Yes,Yes,0,Rarely,Often,39,Male,United States of America,California,United States of America,California
0,,1,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,0,,,,,,Maybe,None of them,,I don't know,I don't know,None of them,Maybe,,No,,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,Possibly,Possibly,No,1,Not applicable to me,Often,24,male,United States of America,Tennessee,United States of America,Tennessee
0,More than 1000,1,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,Yes,No,I don't know,No,,,,,,,,,1,I don't know,N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,Not knowing could be a bad thing.,Yes,Knowing is half the battle,Maybe,"No, I don't think they would",Very open,"Yes, I experienced",No,I don't know,Yes,Yes,Yes,1,Sometimes,Sometimes,54,Male,United States of America,Washington,United States of America,Oregon
